id,ra,dec,separation_arcmin,total_flux_mjy,spectral_index,spectral_curvature,bmaj,bmin,pa,redshift,radioclass
24794,242.7017059326172,55.58081817626953,32.18985423453444,3.2364022627266418,-2.0499312647297914,-1.7691256229597183,-100.0,-100.0,-100.0,1.0195574760437012,6
39280,243.18856811523438,54.85713577270508,23.900472112744055,3.137241530962406,-1.623366344792329,-0.948757775176545,2.2290844917297363,1.767639398574829,136.5545654296875,2.748364210128784,3
4883,242.3468780517578,55.20884323120117,12.507278171491556,3.1086476362983397,-0.8066127913401524,-0.3073125234715263,9.749887466430664,8.630071640014648,226.99411010742188,0.18200784921646118,1
34925,243.17393493652344,54.52781295776367,37.39797663723033,3.108420687543877,-3.0744201060681213,-2.6777817907024457,-100.0,-100.0,-100.0,2.0672249794006348,6
1804,243.47869873046875,54.79153060913086,34.60681953687141,3.070859726074898,-2.409217773112547,-2.243122552177288,7.76240348815918,3.3083131313323975,301.22125244140625,0.08541589975357056,1
28354,243.2523193359375,55.4205322265625,32.02978666048378,3.055397558960515,-1.995721303661804,-1.7462119875622537,-100.0,-100.0,-100.0,1.4340310096740723,6
30977,242.2358856201172,55.59693145751953,34.92915881104046,2.9865675619427265,-2.533014402439744,-2.203897624865655,-100.0,-100.0,-100.0,1.6476694345474243,6
701,242.31973266601562,55.56865310668945,32.43821430711907,2.8095974601047113,-2.1425945530116133,-1.899313255389196,7.33729887008667,5.904891014099121,43.22544860839844,0.07305553555488586,1
39388,242.18724060058594,55.11157989501953,14.02069257262227,2.792603381101568,-0.7717291032505009,-0.26929788264028004,-100.0,-100.0,-100.0,2.916346311569214,6
21130,242.6642608642578,55.31108093261719,15.998072351387824,2.743215104577783,-1.5770267757144152,-0.35553941854897675,-100.0,-100.0,-100.0,0.7793638110160828,6
8450,242.47003173828125,55.15025329589844,7.172000728044683,2.738481153758454,-0.5031425546662726,-0.06821711729496964,-100.0,-100.0,-100.0,0.36492854356765747,6
12058,242.34518432617188,55.43833923339844,24.720159047186407,2.6885734436949473,-1.7306623800643566,-0.9268528361604029,-100.0,-100.0,-100.0,0.4342970848083496,6
132,241.8871307373047,55.16033172607422,24.721083697085177,2.6634492730071253,-1.4225059902162975,-1.0201558182214312,13.0743408203125,10.520180702209473,83.89632415771484,0.0186002254486084,1
27035,242.1597900390625,54.564674377441406,32.484815911113444,2.5608165897929185,-2.1143814739701194,-1.8119449321791277,-100.0,-100.0,-100.0,1.2689969539642334,6
30698,241.9204559326172,54.438053131103516,43.187970717730394,2.558561692805095,-3.708918998211257,-4.235462700825537,-100.0,-100.0,-100.0,1.6594904661178589,6
17918,241.6495361328125,54.62184524536133,41.12075388567052,2.53030333426714,-3.5150465493547305,-3.5904800240892927,-100.0,-100.0,-100.0,0.6438979506492615,6
139,242.8240203857422,54.464439392089844,36.060203499974946,2.484804089260106,-2.578268083989278,-2.5037079549587133,7.098728179931641,7.071497440338135,29.89208221435547,0.025079665705561638,1
34645,243.57720947265625,55.2818717956543,36.91335763493838,2.404494404945611,-2.8889498987180384,-2.577749680275746,-100.0,-100.0,-100.0,2.064606189727783,4
1772,242.30712890625,55.3117561340332,18.347939044563713,2.378836555066676,-1.0377386105481867,-0.5710646447166581,5.670274257659912,4.212226390838623,15.284042358398438,0.09174372255802155,1
698,242.57681274414062,55.66338348388672,36.876607629131634,2.365982845479878,-2.697480291935519,-2.6646130157592154,6.81937837600708,6.4765825271606445,279.8455505371094,0.06852006167173386,1
1801,242.9126739501953,55.60789489746094,35.41172908417481,2.3440346726692236,-2.5108330385976663,-2.384557132707422,14.062546730041504,5.023801803588867,222.45803833007812,0.09395428746938705,1
10244,241.5593719482422,54.90469741821289,36.2069058238828,2.342666636450389,-3.331772315825311,-2.438238880090957,-100.0,-100.0,-100.0,0.40671825408935547,6
23143,243.7207794189453,54.934539794921875,39.84581984119849,2.3185730416707715,-3.269457393687361,-3.246292134881164,-100.0,-100.0,-100.0,0.9220457673072815,6
4874,242.42405700683594,54.97257614135742,7.060720976748588,2.2948943759040996,-0.6626006766080755,-0.1606479686676343,7.729146480560303,6.168426990509033,203.78085327148438,0.204584002494812,1
15213,243.02749633789062,55.10721206665039,15.750379760883497,2.278807764203169,-1.4524181511514458,-0.3439329433425409,-100.0,-100.0,-100.0,0.5304008722305298,6
15062,243.12612915039062,54.97365951538086,19.307649668720224,2.2748011958590437,-1.153073436587387,-0.6274751638218414,4.289981842041016,4.279863357543945,77.57274627685547,0.5143028497695923,1
38307,242.7193603515625,55.569637298583984,31.60960706396863,2.2692810491649222,-2.376078438422933,-1.6872971648692718,-100.0,-100.0,-100.0,2.6351912021636963,6
30873,241.5792999267578,55.5308723449707,44.79489521987961,2.2491287009441594,-3.7660980995118845,-4.827762035022292,-100.0,-100.0,-100.0,1.6035279035568237,6
22188,242.5667266845703,54.64826965332031,24.035101217815814,2.225658566296028,-1.7287470852851416,-0.8686284900822233,-100.0,-100.0,-100.0,0.8387218117713928,6
39642,242.5826416015625,55.169315338134766,7.232704399125292,2.2213494123630104,-0.4851970556492858,-0.06931478677198268,-100.0,-100.0,-100.0,3.1660802364349365,6
19,243.23391723632812,55.636878967285156,41.73975536594981,2.212447760368703,-3.460438429233605,-3.8643084707603634,24.48637580871582,16.353717803955078,79.34223175048828,0.008579449728131294,1
24972,241.67176818847656,54.867088317871094,33.14798147794688,2.1783330754792876,-2.525714060800557,-1.9116003867323264,-100.0,-100.0,-100.0,0.9795884490013123,6
4884,243.31980895996094,54.95017623901367,26.123838757495847,2.108934646245599,-1.5683087642285576,-1.149527278588117,7.756491184234619,6.674901485443115,170.17332458496094,0.1760968267917633,1
32832,241.80836486816406,54.896236419677734,28.119925933146604,2.0281756104556634,-1.8683265285386002,-1.2583806796034382,-100.0,-100.0,-100.0,1.8998411893844604,6
650,242.7340545654297,55.19511795043945,10.240771037578677,2.0219691255477206,-0.7070612899811198,-0.234391795728019,8.91513442993164,4.325176239013672,172.34356689453125,0.04441902041435242,1
8444,242.35581970214844,55.768070220947266,43.83055654671493,2.0014931925233466,-4.37293135780015,-4.461801035244419,-100.0,-100.0,-100.0,0.3520437180995941,6
16538,242.247314453125,54.62391662597656,27.970089291862767,1.9924696235342827,-1.4060104639101385,-1.2421487088866807,-100.0,-100.0,-100.0,0.5908176302909851,4
37465,243.13693237304688,54.446372985839844,40.96066146600227,1.9863986758354801,-3.8632052735715705,-3.545193687793357,-100.0,-100.0,-100.0,2.4515392780303955,6
