id_1,ra_1,dec_1,separation_arcmin_1,total_flux_mjy_1,spectral_index_1,spectral_curvature_1,bmaj_1,bmin_1,pa_1,redshift_1,radioclass_1,id_2,ra_2,dec_2,separation_arcmin_2,total_flux_mjy_2,spectral_index_2,spectral_curvature_2,bmaj_2,bmin_2,pa_2,redshift_2,radioclass_2,match_sep_arcsec
20076,242.7466278076172,55.574913024902344,32.07412021429563,27.23980548462715,-2.4181823086858825,-1.7525438285741164,-100.0,-100.0,-100.0,0.7749364972114563,5,20076,242.7466278076172,55.574913024902344,32.07412021429563,24.5700221520332,-1.8156968427740765,-1.0075439820142054,-100.0,-100.0,-100.0,0.7749364972114563,5,0.0
17813,242.47361755371097,55.03286361694336,3.7947117839379736,25.176686424994397,-0.7915332444904866,-0.0189042617377369,-100.0,-100.0,-100.0,0.6295462846755981,6,17813,242.47361755371097,55.03286361694336,3.7947117839379736,18.23427542669395,-0.7846763142859219,-0.0120651381088864,-100.0,-100.0,-100.0,0.6295462846755981,6,0.0
24976,242.2902374267578,54.81199645996094,17.37600524952061,25.00572142411579,-1.443198241440243,-0.4239592987546039,-100.0,-100.0,-100.0,1.0358803272247314,6,24976,242.2902374267578,54.81199645996094,17.37600524952061,17.404551801580475,-1.2915513930524376,-0.2637650715877103,-100.0,-100.0,-100.0,1.0358803272247314,6,0.0
36282,242.62254333496097,55.3016357421875,15.239957362008976,23.675029389499883,-0.7800778971648406,-0.3208470779169216,-100.0,-100.0,-100.0,2.247563362121582,6,36282,242.62254333496097,55.3016357421875,15.239957362008976,20.56361766783539,-0.6649634529314395,-0.2007802516774649,-100.0,-100.0,-100.0,2.247563362121582,6,0.0
27146,242.49949645996097,54.60884094238281,26.54398932802951,22.032566590757796,-1.8313587780063756,-1.0953228071786698,-100.0,-100.0,-100.0,1.286584734916687,6,27146,242.49949645996097,54.60884094238281,26.54398932802951,18.592280376663737,-1.4474061198602437,-0.6544717641704905,-100.0,-100.0,-100.0,1.286584734916687,6,0.0
24796,243.0059356689453,55.13331985473633,15.465409874531744,21.161407732178677,-0.8516111815006681,-0.3309381587334071,-100.0,-100.0,-100.0,1.0349857807159424,6,24796,243.0059356689453,55.13331985473633,15.465409874531744,17.936780952267608,-0.732910599589035,-0.2070324982675811,-100.0,-100.0,-100.0,1.0349857807159424,6,0.0
30746,242.83657836914065,55.25006103515625,14.932400193902868,19.851632083649488,-0.8751810440732295,-0.307376642850585,-100.0,-100.0,-100.0,1.513558268547058,6,30746,242.83657836914065,55.25006103515625,14.932400193902868,16.43725052184634,-0.7648619551544787,-0.1925441559700885,-100.0,-100.0,-100.0,1.513558268547058,6,0.0
33060,243.00534057617188,55.28142929077149,20.17223560286553,19.429889101755982,-1.3664813379343257,-0.5861175193081596,-100.0,-100.0,-100.0,1.8412684202194216,6,33060,243.00534057617188,55.28142929077149,20.17223560286553,15.2794635214054,-1.1578707954789351,-0.3610509092056903,-100.0,-100.0,-100.0,1.8412684202194216,6,0.0
23170,241.79042053222656,54.77656936645508,31.767205640062063,18.77926649798287,-2.2294839671125737,-1.7091859881433182,-100.0,-100.0,-100.0,0.8934860825538635,6,23170,241.79042053222656,54.77656936645508,31.767205640062063,17.983384959783542,-1.6411479137189044,-0.9851043539268484,-100.0,-100.0,-100.0,0.8934860825538635,6,0.0
28463,242.1083526611328,54.665470123291016,28.191473398429466,18.211212891054764,-1.7097891283635755,-1.2662275058667936,-100.0,-100.0,-100.0,1.470903992652893,6,28463,242.1083526611328,54.665470123291016,28.191473398429466,17.607265426240133,-1.2681990125292633,-0.7489074914071621,-100.0,-100.0,-100.0,1.470903992652893,6,0.0
